rowname	P001	P002	P003	P004	P005	P006	P007	P008	P009	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129
 g__Tuzzerella	 3	 4	 2	 9	 0	 0	 2	 5	 0	 0	13	 1	 3	 0	 1	 3	 4	 0	 2	 5	 4	 3	 2	 2	 2	 2	 0	 1	 0	 1	 6	 0	 0	 1	 1	 0	 3	 3	 6	 5	 1	 0	 0	 1	 4	 2	 1	 5	 0	 1	 0	 1	 1	 0	 2	 7	 5	 0	 1	 0	 0	 2	 0	 3	 7	 5	 0	 1	 0	 0	 1	 2	 0	 1	 5	11	 7	 3	 5	 1	 2	 8	 5	 2	 1	 0	 2	 2	 5	 9	 5	 2	 0	 3	 1	 6	 1	 2	 2	 2	 2	 2	 3	 5	 2	 0	 2	 1	 1	 4	 9	 4	 0	 1	 2	 2	 3	 1	 3	 0	 2	 2	 1	 1	 9	 4	 0	 2
 g__Tyzzerella	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	12	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__UCG-005	 8	 7	 4	 6	 0	 3	 1	 2	 0	 3	 0	 9	 8	 1	 3	 2	 0	 0	 4	 5	 7	 5	 0	 3	 6	 0	 0	 5	 8	 6	 9	 1	 3	 3	 2	 0	 7	 8	 3	 2	 9	 0	 1	 0	 0	11	 4	 2	 0	 4	 1	 6	 3	 0	 9	 3	 3	 0	 4	 0	 6	 2	 0	 8	 4	 5	 0	 5	 0	 8	 0	 0	 4	 4	 6	11	 7	 1	 2	 6	 2	 8	12	 8	 2	 2	 3	 4	 9	 7	 7	 0	 1	 3	 4	 4	18	 7	 1	 2	 5	 6	14	 7	15	 1	 2	 2	 2	 8	 2	14	 2	 0	 7	 1	 8	 6	14	 2	 1	 2	 4	12	 3	13	 1	 1
 g__UCG-009	7	6	0	1	0	3	1	2	0	0	0	2	1	0	4	2	3	0	2	2	2	2	0	3	2	0	0	2	0	2	2	0	4	1	2	0	4	3	1	0	4	0	3	1	0	3	1	1	0	3	0	2	2	0	3	2	0	0	4	0	2	1	3	2	2	1	0	4	0	3	1	0	4	0	4	2	2	5	1	2	2	2	1	3	1	2	3	2	3	1	3	0	0	1	2	3	0	2	3	3	4	2	1	4	3	0	2	1	1	2	6	3	2	2	1	1	1	3	3	2	1	1	2	1	4	2	0	1
 g__UCG-010	0	3	5	2	0	1	4	1	0	0	2	3	3	3	2	3	3	0	5	0	1	2	1	2	3	3	0	5	5	1	3	0	2	6	2	0	4	5	4	0	5	0	3	1	0	5	3	3	0	3	0	2	4	0	6	1	2	0	1	0	2	2	0	5	5	3	0	5	0	1	2	0	9	2	1	4	4	4	2	2	5	2	6	4	4	4	2	6	6	2	3	3	5	4	1	4	5	3	5	4	3	6	6	3	2	4	6	2	3	3	3	4	7	2	3	5	3	5	5	2	4	8	5	2	3	9	3	8
 g__uncultured	264	375	 58	154	  0	174	205	249	 42	232	222	 94	103	 99	242	116	181	 57	247	266	268	114	 44	183	154	 73	  4	179	156	168	135	 77	314	 51	217	 18	202	337	 98	171	187	 60	122	150	 52	172	 72	 77	 20	161	 86	162	107	 26	195	233	 80	  0	236	  5	229	234	  5	178	212	141	  0	219	  4	260	 42	  2	201	 77	435	212	250	329	 93	 84	125	468	178	184	190	250	157	 98	320	242	250	351	183	288	127	620	 46	116	150	167	260	199	235	364	131	157	 90	107	102	431	432	262	 91	159	282	 89	308	 92	 81	137	143	152	232	168	433	335	161	173
 g__Ureibacillus	 0	 0	 0	 0	 0	 0	 0	 0	 5	 0	12	 0	 0	 9	 0	 0	 0	 5	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 6	 0	 0	13	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Vibrionimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Virgibacillus	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__W5053	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Weissella	 0	27	 0	 0	 0	 0	 1	 4	23	 0	81	 0	 0	 5	 0	 0	 3	 4	 0	 4	 0	 0	 7	 0	 1	 2	 7	 0	23	 0	 0	12	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	24	 0	 0	 0	 0	 0	 0	 0	 5	 4	 0	 0	 0	 0	 0	 1	 0	 1	15	 0	 0	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
 g__Williamsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Xylella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Yimella	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
