Genus	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113	P114	P115	P116	P117	P118	P119	P120	P121	P122	P123	P124	P125	P126	P127	P128	P129	PrNotRecog
 g__Chthoniobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__CL500-29_marine_group	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridia_UCG-014	0	818	173	55	0	483	250	197	0	0	0	190	823	284	16	1010	340	149	0	939	214	972	239	11	1391	75	2	0	1304	5	760	205	14	772	253	1119	0	801	594	359	0	830	38	543	746	14	815	256	242	0	634	74	862	518	14	704	46	3	2	1429	41	450	469	0	375	340	90	0	3219	13	447	133	0	511	348	520	985	374	371	119	537	240	1329	1283	360	1051	119	135	74	987	314	307	8	534	331	89	706	1092	406	583	143	911	663	917	468	282	62	219	135	576	876	173	486	317	58	569	665	422	367	481	178	236	216	356	5254	306	206	131	103	636
 g__Clostridia_vadinBB60_group	2385	1942	246	498	0	307	491	467	0	0	822	301	362	87	98	1076	240	19	6	3818	501	830	198	23	1071	1222	416	0	460	5	325	180	20	490	417	970	0	284	1669	639	397	1073	0	509	2258	0	1194	1139	188	15	506	25	684	684	88	1266	541	363	0	867	2	818	947	11	695	189	519	0	1436	0	810	94	3	2290	305	1969	1173	294	1369	437	1191	1331	1680	736	425	2027	1419	1595	518	2143	1129	994	2078	576	808	594	986	235	280	400	492	965	2299	1880	1433	336	619	834	1116	1051	1422	2060	471	530	178	3247	503	2340	681	497	478	1091	2381	1099	905	1123	856	353	578	1200
 g__Clostridioides	0	0	0	0	0	0	0	0	39	0	0	61	0	0	0	0	0	0	9	0	15	0	0	28	0	0	0	23	0	0	0	0	17	0	0	0	11	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_1	0	672	752	0	0	721	1432	481	895	0	0	904	610	1566	992	463	3138	389	156	4	1353	409	1058	1559	416	1156	251	71	1188	141	544	1688	148	139	951	5941	77	73	1870	0	10	1246	8	964	4646	95	300	897	0	0	1782	11	281	2093	336	264	936	0	0	1351	7	158	1563	21	164	728	0	7	1276	10	687	1453	43	3284	345	1204	2061	1197	1657	3115	7862	173	982	1740	1242	622	1884	6348	630	1325	2120	959	0	1760	4161	55	857	3009	1747	4776	2761	3951	28	427	3705	1095	1312	0	90	1571	329	1631	1147	4542	0	205	1856	302	3054	2834	153	0	1086	1202	312	2362	786	1406	0	2041
 g__Clostridium_sensu_stricto_10	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_11	0	0	0	0	0	0	0	0	32	0	0	5	0	0	19	0	0	0	22	0	10	0	0	373	0	0	0	8	0	22	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_12	0	5	0	0	0	0	0	0	25	0	0	66	0	0	14	0	0	0	25	0	123	0	0	101	0	0	0	0	0	8	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_13	0	0	0	0	0	0	0	0	59	0	0	12	0	0	31	0	0	0	23	0	18	0	0	74	0	0	0	0	0	47	0	0	24	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_15	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Clostridium_sensu_stricto_18	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	20	0	9	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
